ID,TargetB,TargetD,DemCluster,DemAge,DemGender,DemHomeOwner,DemMedHomeValue,DemMedIncome,DemPctVeterans,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftAvgLast,GiftTimeFirst,GiftTimeLast,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCat96NK,StatusCatStarAll
14974,0,,0,,F,U,0,0,0,2,4,1,3,13.5,9.25,17,17,66,21,8,17,26,3,8,13,A,0
6294,0,,23,67,F,U,186800,0,85,1,8,0,3,20,15.88,,20,92,26,14,35,79,5,5,24,A,0
46110,1,4,0,,M,U,87600,38750,36,6,41,3,20,5.17,3.73,5,6,111,18,12,23,51,5,11,22,S,1
185937,1,10,0,,M,U,139200,38942,27,3,12,3,8,8.67,8.5,8.67,10,93,9,14,22,44,2,6,16,E,1
29637,0,,35,53,M,U,168100,71509,37,1,1,1,1,20,20,20,20,21,21,10,15,13,4,7,6,F,0
112632,1,11,0,47,M,H,253100,92514,0,3,11,2,9,10.33,8.27,8,11,102,22,11,21,45,5,10,22,S,1
123712,0,,35,58,M,H,234700,72868,22,2,4,2,3,20,13,20,15,57,17,13,34,44,6,16,18,A,0
45409,0,,8,,U,U,207000,0,44,1,4,0,3,15,11.5,,15,90,18,10,19,40,4,4,15,A,0
19094,1,40,35,,F,U,137300,0,32,1,3,0,1,35,28.33,,35,44,17,15,32,56,6,6,22,A,0
178271,0,,13,,U,U,180700,0,37,1,5,1,2,20,11.6,20,6,78,18,14,28,50,5,11,18,A,0
102224,1,6,15,,U,U,143900,0,30,3,16,2,13,6.33,6.13,6,6,107,17,12,23,40,6,12,21,S,1
187915,1,20,36,,F,U,134400,0,41,2,13,1,8,9.06,3.93,5,13.11,75,19,7,15,29,2,6,13,E,1
182029,0,,16,,F,U,68200,0,47,1,1,0,0,20,20,,20,16,16,12,17,14,5,5,6,F,0
188644,0,,17,39,M,H,115100,63000,30,2,4,0,0,15,11.5,,10,32,5,15,33,30,6,6,13,A,0
164513,1,50,24,50,F,H,0,0,33,2,2,1,1,12.5,12.5,5,20,27,18,11,23,19,5,11,9,A,0
102526,0,,34,45,F,U,0,0,37,6,12,3,5,6,6,5.33,6,45,23,11,32,40,5,15,16,S,1
190267,0,,35,,M,U,207900,0,48,3,7,1,3,11.67,8.14,15,15,74,24,4,12,26,2,6,13,E,0
35996,0,,39,,M,H,104400,54385,35,7,15,3,8,5.29,5.67,5.67,5,93,17,12,30,58,6,15,22,S,1
176929,0,,45,,F,U,70000,0,37,4,5,1,1,41.5,35.2,50,10,33,18,14,33,33,6,15,13,A,0
187678,1,5,18,,F,U,62500,0,28,4,9,3,7,5.5,5.22,5.67,7,44,21,6,14,19,2,6,8,E,1
6789,1,10,53,80,M,U,51500,44947,37,1,20,1,8,36,26.95,36,25,105,18,21,39,101,6,17,30,A,1
190212,0,,12,,M,U,43200,0,52,2,5,0,2,12,9.2,,15,57,18,4,12,19,2,2,10,E,0
29903,0,,0,61,M,H,237700,86560,31,3,21,2,14,7.67,6.57,7.5,8,105,22,5,13,42,2,6,19,E,1
127346,1,10,14,47,F,U,218900,0,26,1,1,1,1,15,15,15,15,19,19,7,11,10,2,4,4,E,0
115374,0,,49,67,U,U,93800,0,33,3,15,0,5,13.33,10.07,,20,98,18,13,34,74,6,6,32,S,1
83613,0,,5,67,F,H,79600,52981,31,2,2,1,1,16.5,16.5,20,13,17,16,12,17,15,6,9,7,N,0
174124,0,,0,53,M,H,78100,40491,8,1,1,1,1,20,20,20,20,16,16,5,8,8,2,4,4,E,0
5532,1,15,37,76,M,H,169000,83169,50,2,14,2,6,10,9.93,10,14,64,4,30,50,103,6,16,24,S,1
189258,1,15,34,,F,U,135400,0,15,5,11,3,7,10.2,8.64,10.33,15,53,4,6,14,21,1,5,8,E,1
27634,1,5,35,,M,U,123600,0,22,5,16,3,7,7.8,5.38,9.67,15,103,25,8,25,43,4,13,17,A,0
190726,1,10,0,47,F,U,87500,40898,44,4,14,2,7,17,11.43,16.5,17,124,16,13,29,58,6,16,29,A,0
118908,0,,25,50,M,U,192800,71033,0,3,5,3,4,16.33,15.8,16.33,15,41,9,23,39,44,9,16,17,F,0
175262,0,,25,,F,U,103100,0,24,2,2,1,1,32.5,32.5,20,45,19,18,15,21,17,6,9,7,N,0
31911,1,5,12,,F,U,80000,57800,37,5,7,4,5,4.8,4.29,3.5,5,41,16,15,32,32,6,14,13,A,1
133244,0,,27,,M,H,81400,44194,33,2,4,1,3,15,12.5,15,15,44,25,10,20,21,5,10,11,A,1
103130,0,,43,41,M,U,54900,45164,27,7,18,4,10,7,6.28,6.5,10,57,19,13,33,48,6,17,21,S,1
34174,1,12,36,67,F,H,52900,53400,35,2,12,1,6,11,6.08,12,12,112,20,15,34,69,6,14,28,A,0
15038,1,25,40,75,M,U,84900,59500,21,1,10,1,9,19,12.8,19,19,108,17,14,32,66,6,15,27,A,1
186974,0,,40,,M,U,84900,0,21,1,3,1,1,25,13.67,25,10,21,7,16,23,21,5,8,7,N,0
189536,0,,42,41,M,H,111700,59500,42,2,2,1,1,13,13,16,16,28,24,10,23,22,4,10,9,A,0
15046,1,10,49,59,F,U,59500,0,23,3,22,3,16,6.67,2.64,6.67,10,131,24,4,13,49,2,7,24,A,1
15066,1,10,51,51,F,U,44400,40000,33,4,24,2,10,10.25,8.96,10,11,111,19,13,33,73,6,17,31,S,1
15086,1,10,49,,F,U,59500,0,23,6,22,3,9,15.17,14.18,13.33,25,99,16,14,36,76,6,17,28,S,1
15163,0,,51,31,F,H,45400,37236,11,1,1,0,0,20,20,,20,20,20,11,18,16,4,4,6,F,0
15219,1,25,40,,F,U,73000,50528,36,1,1,1,1,25,25,25,25,21,21,10,17,15,4,7,6,N,0
15237,0,,49,54,F,U,54300,43729,25,2,2,0,0,20,20,,20,20,16,12,18,17,5,5,6,N,0
15277,0,,43,47,F,H,50200,41094,25,2,16,2,12,15,11.31,15,15,122,19,13,33,76,6,16,33,A,1
15332,1,10,24,80,M,U,72300,0,30,2,13,1,6,10,6.54,11,11,77,17,13,32,56,6,15,22,S,1
15311,0,,22,51,M,H,107100,50832,32,1,1,1,1,25,25,25,25,21,21,11,18,16,5,8,7,F,0
15349,1,30,29,75,M,U,65100,0,30,1,1,0,0,20,20,,20,19,19,10,14,12,4,4,4,F,0
15350,1,15,22,70,F,U,107100,77654,32,2,2,1,1,17.5,17.5,15,20,23,18,12,24,21,6,12,10,N,0
15384,1,15,28,59,F,H,45200,35302,31,2,2,1,1,10,10,5,15,29,18,10,23,21,4,9,8,A,0
15445,1,20,25,42,M,H,78200,58530,25,1,13,0,6,20,10.23,,20,103,19,13,31,60,6,6,25,A,1
185774,1,12,0,,F,H,65000,58530,0,6,44,2,10,19,15.48,19,10,187,5,29,51,118,11,22,38,A,0
15416,1,30,25,47,M,H,85900,51013,25,1,1,1,1,20,20,20,20,24,24,8,18,16,3,7,6,N,0
15573,0,,43,53,F,H,47100,43756,24,3,18,3,13,9,4.85,9,10,125,17,13,28,68,6,13,27,S,1
15566,1,10,49,,F,H,68300,43756,31,2,14,0,4,11,7.21,,13,86,21,12,30,59,5,5,23,A,1
15549,0,,44,65,F,U,68300,43756,40,2,3,1,1,16,14,20,20,44,24,11,28,33,6,13,13,A,0
